name, natural, zip, state, phone
Fred Jordan,39,07872,VT,(514) 267-4073
Marvin Gray,46,91235,DC,(858) 252-5705
Lizzie Smith,88,53156,MN,(740) 400-4694
Caleb Henry,84,00980,OK,(529) 665-5295
Sally Frazier,61,58275,UT,(572) 665-9354
Troy Harvey,40,47554,ID,(941) 292-2732
May Fleming,25,82604,ID,(889) 601-8753
Gerald Grant,69,38899,NC,(766) 237-7985
Leonard Burgess,2,84064,IA,(266) 550-4777
Leon Barrett,19,14514,AL,(434) 486-7959
Mitchell Buchanan,93,80830,DC,(741) 737-3539
Barry Graham,27,83588,AL,(949) 828-3992
Chris Bowman,6,96735,ND,(784) 913-4938
Patrick May,57,79268,MD,(883) 598-2612
Emily Poole,100,20400,NY,(679) 847-4100
Curtis Brewer,62,71412,LA,(379) 264-2933
Lura Kim,34,90192,HI,(331) 326-9811
Ethel Clayton,54,39197,GA,(951) 747-7151
Maria Porter,6,45240,MD,(469) 995-9575
Lina Fox,35,71965,SD,(465) 650-4223
Steve Bell,76,29055,ND,(414) 441-1862
Jon Nelson,100,09871,NJ,(988) 375-5785
Nellie Mendez,22,28889,AZ,(312) 869-8801
Henry Sharp,10,39606,OR,(269) 304-5874
Vincent Perkins,52,09274,KS,(865) 540-2747
Ruth Evans,9,38613,NE,(212) 216-4820
Ann Henderson,26,80685,IN,(340) 473-5095
Iva Goodwin,82,84294,RI,(963) 736-8728
Leroy Simon,66,12902,AZ,(725) 544-6727
Nannie Mendoza,54,96182,NV,(340) 902-1460
Lelia Gibson,30,33032,NH,(909) 579-4180
Micheal Holland,22,33585,SC,(911) 867-9971
Verna Becker,40,17222,MO,(804) 782-8517
Jose Bradley,29,75789,NV,(680) 633-1313
Joshua Williams,87,18318,NE,(349) 723-3590
Lillian Rios,23,07169,CT,(482) 364-2757
Seth Buchanan,87,38765,FL,(352) 522-3936
Lester French,90,12960,ME,(362) 345-5428
Jeffrey James,22,18204,IA,(457) 613-9039
Bruce Hernandez,71,80149,SD,(741) 813-2823
Anne Curtis,65,73954,AZ,(674) 238-8962
Celia Garrett,60,88541,AR,(966) 625-6914
Carl Peters,68,80931,DE,(904) 338-3572
Barbara Olson,47,44337,TX,(773) 582-1915
Dean Peters,4,77560,WA,(458) 341-2650
Adele Davis,54,60348,NJ,(813) 834-8088
Irene Fuller,26,16676,KS,(246) 991-7158
Christine White,14,58044,NC,(332) 448-1647
Elijah Lambert,48,17968,TX,(253) 921-6751
Alejandro Gutierrez,33,86332,LA,(886) 881-8055
Carlos James,78,75632,RI,(445) 610-8366
Raymond Bell,55,89309,MO,(868) 975-3872
Catherine Rogers,64,08528,AZ,(536) 241-5143
Andre Grant,3,62874,DE,(783) 202-5733
Johanna Hodges,79,02725,WV,(765) 217-5813
Michael Schneider,66,97649,NC,(867) 275-4356
Mattie Fowler,60,13714,IL,(318) 818-2505
Lucas Banks,92,32846,UT,(286) 888-6727
Jorge Jenkins,78,54490,NC,(804) 571-2496
Shane Davidson,79,55783,WI,(741) 952-2057
Millie Brock,58,27925,MA,(580) 435-5262
Hallie Atkins,57,29572,TX,(275) 209-2280
Richard Walsh,76,59500,ME,(585) 384-6480
Ola Bowers,5,75763,VA,(325) 542-2140
Evan Bailey,44,60991,NC,(275) 899-7085
Rebecca Phillips,54,56829,MI,(947) 791-3045
Ophelia Steele,22,37113,SC,(548) 773-9956
Wayne Dawson,74,35701,MO,(320) 843-8926
Lucas Dean,13,05990,AL,(904) 261-4524
Cory Gray,23,04271,WI,(201) 230-7028
Blake Watkins,87,68857,CA,(266) 986-8518
Sylvia Washington,55,60269,NH,(722) 386-6135
Julian Daniel,70,95626,GA,(470) 962-4394
Mathilda Aguilar,73,55844,MO,(704) 435-6536
Garrett Haynes,66,38793,OR,(518) 626-4062
Willie Daniels,41,82572,KY,(403) 837-3468
Nelle Roberson,86,47893,VA,(920) 480-7401
Addie Kelley,39,11351,MS,(454) 770-7189
Ernest Cobb,35,45260,SD,(230) 819-2352
Bruce Perry,78,86815,AR,(717) 669-9775
Kevin Mills,40,85208,NJ,(382) 242-1201
Francis King,95,43779,WA,(535) 714-6783
Bill Stokes,21,49983,NH,(857) 515-5496
Ola Bowen,100,71669,MI,(260) 622-9796
Ralph Lowe,53,10913,DC,(334) 955-8003
John Hanson,59,13705,NJ,(788) 367-6883
Johanna Collier,25,65099,NM,(586) 264-3109
Sadie Ballard,64,97305,NE,(766) 375-8327
Lloyd Palmer,42,75186,CO,(704) 314-5537
James Fowler,41,79663,MA,(923) 337-4937
Lily Collins,73,53088,KY,(325) 352-9525
Jason Duncan,47,96378,FL,(568) 338-5515
Jennie Russell,24,04010,NV,(324) 287-6102
Louisa Keller,28,15849,WY,(352) 250-1415
Clarence Patton,34,89855,UT,(305) 842-8844
Daisy Torres,93,64679,MS,(836) 565-2802
Dennis Banks,54,26006,VT,(858) 804-4479
Luella Gibson,96,91399,MI,(859) 748-8096
Lucile Malone,29,72788,CO,(350) 955-8399
Ella Martinez,68,56165,NY,(272) 876-9515
